date_time,merchant,direction,total,reference
2026-07-02 08:30:00,FREELANCE CLIENT PAYOUT,credit,650000,VIDEO-DEMO-EWALLET-0001
2026-07-03 18:10:00,METROSWIFT RIDE,debit,28000,VIDEO-DEMO-EWALLET-0002
2026-07-04 12:40:00,NUSANTARA BENTO LAB,debit,52000,VIDEO-DEMO-EWALLET-0003
2026-07-05 20:15:00,ORBITPLAY STUDIO,debit,95000,VIDEO-DEMO-EWALLET-0004
2026-07-06 09:25:00,KOPI LANGIT SELATAN,debit,39000,VIDEO-DEMO-EWALLET-0005
2026-07-07 10:10:00,NOVACLOUD WORKSPACE,debit,180000,VIDEO-DEMO-EWALLET-0006
2026-07-08 06:05:00,SAGARA INTERNET,debit,285000,VIDEO-DEMO-EWALLET-0007
2026-07-09 11:50:00,PIXELNEST SUPPLIES,debit,310000,VIDEO-DEMO-EWALLET-0008
2026-07-10 14:35:00,CIPTA KARYA PRINTING,debit,90000,VIDEO-DEMO-EWALLET-0009
2026-07-13 08:00:00,SALARY PERFORMANCE BONUS,credit,450000,VIDEO-DEMO-EWALLET-0010
